,Name,Location,City,P.O Box,Phone,Mobile,Company Page URL,Logo URL
43,"Al Bait Al Malaky Mandi Restaurant
",Mussafah Indl Area,Sharjah,6487,06-5256663Call,050-8684110Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
44,"Al Banadir Family Restaurant LLC
","Near Immigration Office, Al Kuwait Rd",Sharjah,213,06-5628928Call,050-2822890Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
45,"Al Barakah Restaurant
",Al Etihad Rd,Ras Al Khaimah,480,07-2238349Call,050-2813466Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
46,"Al Bawadir Restaurant
","Near Moonlight S/Market, Julphar Rd, Julan",Sharjah,4362,06-5515957Call,056-5373990Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
47,"Al Bayan Purification and Potable Water LLC
",Garhoud,Abu Dhabi,67394,02-5510370Call,055-8803166Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
48,"Al Bustan Hotel
","Next to Fujairah Trade Centre, Beside Etisalat Bldg",Sharjah,21984,06-5731555Call,050-8888317Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
49,"Al Bustan Restaurant
","Behind Labour Ministry, Hor Al Anz",Umm Al Quwain,5060,06-7670077Call,056-6678194Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
50,"Al Daba Restaurant
",Abu Shagara,Ras Al Khaimah,5060,07-2238610Call,050-4453487Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
51,"Al Dahleez Restaurant
",Al Salam Road,Dubai,21107,04-2823922Call,055-8780083Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
52,"Al Diar Siji Hotel
","Baladiya Building, Near Wadi 28, Al Maqam",Fujairah,20164,09-2232000Call,050-6605689Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
53,"Al Fakher Mandi & Traditional Restaurant
",Al Ghusais,Dubai,387,04-2664660Call,056-5080711Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
54,"Al Falah Cafeteria
","Near Ritz Carlton, Vietnam Village",Sharjah,23935,06-5482275Call,055-3677350Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
55,"Al Falah Restaurant and Cafeteria
","Behind Crown Plaza, Hamdan Street",Fujairah,102995,09-2235151Call,055-4883399Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
56,"Al Falak Restaurant
","Near Etisalat Office, Hamdan Street",Al Ain,25648,03-7681200Call,052-5212137Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
57,"Al Falasi Restaurant & Cafeteria
","Opp Old Fire Brigade, Al Muntazar Rd",Dubai,42756,04-2673141Call,056-4454068Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
58,"Al Fanar Restaurant
",Electra Rd,Abu Dhabi,82999,02-4481144Call,050-8364765Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
59,"Al Farah Pastry & Grills
","Near Fire Station, Dibba",Abu Dhabi,7978,02-6333777Call,054-7181805Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
60,"Al Fareej Restaurant
","Bin Sultan Rd, Mamourah",Abu Dhabi,7135,02-6393335Call,056-8586655Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
61,"Al Faris Restaurant
",DIFC,Ras Al Khaimah,16837,07-2285682Call,056-7033724Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
62,"Al Fujairah Restaurant
","Behind KIA Showroom, TCA",Abu Dhabi,85549,02-6782973Call,055-5115772Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
63,"Al Fursan
","Near Rotana Hotel, Nabaa",Fujairah,12134,09-2443211Call,055-4468227Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
64,"Al Ghub Restaurant
","Sunshine Bldg, Near Al Tayer Motors, Al Garhoud",Ras Al Khaimah,13124,07-2282959Call,055-8778176Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
65,"Al Grissino
",Salam St,Dubai,16837,04-3524000Call,056-8360200Call,//www.dmca.com/Protection/Status.aspx?ID=32c3b0f3-c10c-4870-a911-59a97e2b8fb7,/images/whatsapp_02.svg
66,"Al Habsha Restaurant
",Al Garhoud,Abu Dhabi,11780,02-6770014Call,050-2420943Call,,
67,"Al Hadheeth Restaurant
","Al Hamra, Jazeera",Sharjah,1259,06-5632275Call,050-9098139Call,,
68,"Al Hajis Cafeteria and Restaurant
","Near Emarat Petrol Pump, Bazaar Area",Dubai,45240,04-2868244Call,055-8286907Call,,
69,"Al Hakorah Restaurant & Catering
",Khalidia,Abu Dhabi,36093,02-6447979Call,054-4478160Call,,
70,"Al Hallab Restaurant and Sweets LLC
","Near Liberty Signal, Al Wahda St",Dubai,2601,04-2823388Call,055-8752215Call,,
71,"Al Hamadi Restaurant
","Opp New Burjuman Centre, Karama",Ras Al Khaimah,13135,07-2445416Call,056-9925992Call,,
72,"Al Haram Restaurant
","Beach Road, Jumeirah 1",Umm Al Quwain,12116,06-7656965Call,056-1013332Call,,
73,"Al Heel Rest and Catering
","Near Mubarak Centre, Al Nabba, Rolla",Abu Dhabi,46127,02-6215116Call,052-4377155Call,,
74,"Al Hulmiah Restaurant
","Opp Emirates Islamic Bank, Near National Paints, Kalba Rd",Sharjah,11598,06-5259382Call,056-6699186Call,,
75,"Al Ibrahimi Palace Restaurant
",Khabisi Area,Dubai,233485,04-3977070Call,055-9454476Call,,
76,"Al Ibtihal Restaurant
",Near Mussalla Park,Dubai,41230,04-3311170Call,050-1325032Call,,
77,"Al Ijaza Cafeteria
","Near Old Honda S/R, Abu Shagara",Dubai,41230,04-3444874Call,056-2931779Call,,
78,"Al Insaf Al Afghani Restaurant
","Opp Sadaf Rest, Al Marija St, Mena Rd",Sharjah,50589,06-5618840Call,04-3972788Call,,
79,"Al Insha Restaurant
","Near Zulekha Hospital, Al Zahra St, Nasiriya",Sharjah,238888,06-5358438Call,056-7108378Call,,
80,"Al Irshad Restaurant
",Al Diyafa,Al Ain,55104,03-7620492Call,055-4667235Call,,
81,"Al Ishbaa Restaurant
","Al Mamzar Building, Bhnd Public Library",Sharjah,70070,06-5620410Call,056-7725454Call,,
82,"Al Islami Foods Co, ( Al Farooj Head Office)
",Deira,Jebel Ali,1063,06-5447373Call,052-6930185Call,,
83,"Al Joory Hyderabadi Restaurant
",Al Buhaira,Sharjah,66743,06-0522554Call,055-1100954Call,,
84,"Al Kabab Al Afghani Al Jadeed Restaurant
","Near Sahara Centre, Al Nahda St",Sharjah,4683,06-5656127Call,050-2814455Call,,
85,"Al Kabab Al Laziz Afghani Rest LLC
","Bhnd Old Sharjah Cinema, Rolla",Sharjah,4427,04-3980123Call,055-7199280Call,,
86,"Al Karnak
","Near Taxi Station, Industrial Area",Dubai,251792,04-2628781Call,02-6817747Call,,
87,"Al Khaial Cafeteria & Restaurant
","Opp Al Majaz Park, Al Wahda St",Dubai,48600,04-3808787Call,055-3411011Call,,
88,"Al Khaja Group
",Bur Dubai,Dubai,1175,04-2973000Call,055-3569068Call,,
89,"Al Khaja Hospitality
","Near Wafa Supermarket, National Paint",Dubai,63609,06-5368950Call,050-7191166Call,,
90,"Al Khaleej Al Arabi Pastry
","Jumeirah St, Umm Suqeim 2",Sharjah,52681,06-5564443Call,050-1118971Call,,
91,"Al Khaleej Al Latheethah Pastry
","Near Fire Station, Muwaileh",Sharjah,29688,06-5314858Call,055-9629197Call,,
92,"Al Khiyma Restaurant
","Near Fair Point, Kalba Rd, Indl Area 17",Sharjah,73116,06-5681059Call,055-8218959Call,,
93,"Al Khoor Restaurant
",Khalidiya,Sharjah,37747,06-7664386Call,050-8644909Call,,
94,"Al Kurup Restaurant
","Near KM Trading, Opp Tasheel. Abu Shagara",Umm Al Quwain,21677,06-5599554Call,052-9866084Call,,
95,"Al Maharah Restaurant
","Frij Murar, Deira",Sharjah,37658,04-3930042Call,050-3988826Call,,
96,"Al Majas Restaurant LLC
",Abu Dhabi Corniche,Dubai,126587,06-5340441Call,050-5001349Call,,
97,"Al Malaki Rajasthan Restaurant
",Deira,Sharjah,1676,800-625527Call,058-8170900Call,,
98,"Al Mallas
",Liwa,Dubai,42714,06-5356919Call,050-5649227Call,,
99,"Al Manbar Cafeteria
","Bhnd Central Bank, Abu Shagara",Sharjah,8879,06-5359454Call,050-8314900Call,,
100,"Al Manbar Restaurant & Cafeteria
",Al Muraqabbat Road,Sharjah,181858,02-6219001Call,052-9264719Call,,
101,"Al Mansoori Restaurant
",Al Nahda,Abu Dhabi,30651,06-5599356Call,055-3089030Call,,
102,"Al Marasim Al Afghani Restaurant
",Nakheel,Sharjah,50080,04-2711945Call,050-1108848Call,,
103,"Al Mathaq Al Shamsi Restaurant
","Behind Fortune Hotel, Naif",Dubai,60825,02-6440440Call,055-5383213Call,,
104,"Al Mayass Restaurant
","Behind UAE Exchange, Bur Dubai",Abu Dhabi,184512,04-2222622Call,052-4900386Call,,
105,"Al Minar Restaurant
","Lulu Village, Muhaisnah, Qusais",Dubai,11757,02-8822000Call,055-9788931Call,,
106,"Al Misyal Bar
","R/A 5, Jebel Ali Free Zone",Abu Dhabi,53128,06-5593398Call,056-8853308Call,,
107,"Al Mobile Restaurant
",Bur Dubai,Sharjah,28977,04-2128268Call,050-2380107Call,,
108,"Al Nafoora Restaurant - Coral Deira Dubai
","Sh Ahmed Bin Mohd Sharqi Road, Dibba Al Fujairah",Dubai,44056,06-5454422Call,050-9456999Call,,
109,"Al Nahda Palace LLC
",Dibba,Sharjah,4832,04-3171100Call,056-5511066Call,,
